;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;Unnamed: 0.1.1.1;Unnamed: 0.1.1.1.1;Unnamed: 0.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1;cluster;tyrep;avecqui;aliment_1;aliment_2;score_substitution;score_sainlim_1;score_sainlim_2;score_sainlim;score_sainlim_nor;malus;Valeur_malus;Compteur_malus
65;65;65;65;65;65;65;65;65;65;cluster_2;petit-dejeuner;seul;biscuits sucrés;viennoiserie;0.6497285872123746;63.184104698549575;76.75344943387296;13.569344735323384;0.18223473369013649;True;0.2;2
66;66;66;66;66;66;66;66;66;66;cluster_2;petit-dejeuner;accompagne;beurre;margarine;0.17798868524039174;47.14204550098295;69.92222764099368;22.78018214001073;0.3059352169667405;False;1.0;0
67;67;67;67;67;67;67;67;67;67;cluster_2;petit-dejeuner;accompagne;biscottes et panification sèche;pain;0.9657013109545436;86.99778787025706;92.77109206705057;5.773304196793504;0.07753480903731626;False;1.0;0
68;68;68;68;68;68;68;68;68;68;cluster_2;petit-dejeuner;accompagne;café;thé et infusions;0.009391157539305688;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
69;69;69;69;69;69;69;69;69;69;cluster_2;petit-dejeuner;accompagne;café;chicorée et poudre maltée;0.008736415938632006;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
70;70;70;70;70;70;70;70;70;70;cluster_2;petit-dejeuner;accompagne;café;cacao, poudres et boissons cacaotées;0.029315106463278427;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
71;71;71;71;71;71;71;71;71;71;cluster_2;petit-dejeuner;accompagne;thé et infusions;café;0.9906088424606944;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
72;72;72;72;72;72;72;72;72;72;cluster_2;petit-dejeuner;accompagne;thé et infusions;chicorée et poudre maltée;0.4795321637426901;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
73;73;73;73;73;73;73;73;73;73;cluster_2;petit-dejeuner;accompagne;thé et infusions;cacao, poudres et boissons cacaotées;0.662878787878788;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
74;74;74;74;74;74;74;74;74;74;cluster_2;petit-dejeuner;accompagne;chicorée et poudre maltée;café;0.9912635840613679;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
75;75;75;75;75;75;75;75;75;75;cluster_2;petit-dejeuner;accompagne;chicorée et poudre maltée;thé et infusions;0.52046783625731;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
76;76;76;76;76;76;76;76;76;76;cluster_2;petit-dejeuner;accompagne;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.6765285996055228;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
77;77;77;77;77;77;77;77;77;77;cluster_2;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;café;0.9706848935367216;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
78;78;78;78;78;78;78;78;78;78;cluster_2;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;thé et infusions;0.3371212121212121;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
79;79;79;79;79;79;79;79;79;79;cluster_2;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.32347140039447736;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
80;80;80;80;80;80;80;80;80;80;cluster_2;petit-dejeuner;accompagne;sucre et assimilés;confiture et miel;0.42640897282505424;61.33093500768159;79.62831934953721;18.297384341855626;0.24573175991940524;False;1.0;0
81;81;81;81;81;81;81;81;81;81;cluster_2;petit-dejeuner;accompagne;yaourts et assimilés;lait en bouteille ou en brique;0.9736180904522612;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262;False;1.0;0
82;82;82;82;82;82;82;82;82;82;cluster_2;petit-dejeuner;accompagne;jus de fruits (purs et à base  de concentré);eau du robinet;0.0570514529458811;95.12028430661472;99.83238516227932;4.712100855664601;0.06328297064468663;True;0.2;1
83;83;83;83;83;83;83;83;83;83;cluster_2;petit-dejeuner;accompagne;biscuits sucrés;viennoiserie;0.8800000000000001;63.184104698549575;76.75344943387296;13.569344735323384;0.18223473369013649;True;0.2;2
84;84;84;84;84;84;84;84;84;84;cluster_3;petit-dejeuner;seul;beurre;margarine;0.4488747250381539;47.14204550098295;69.92222764099368;22.78018214001073;0.3059352169667405;False;1.0;0
85;85;85;85;85;85;85;85;85;85;cluster_3;petit-dejeuner;seul;sucre et assimilés;confiture et miel;0.5016379781371146;61.33093500768159;79.62831934953721;18.297384341855626;0.24573175991940524;False;1.0;0
86;86;86;86;86;86;86;86;86;86;cluster_3;petit-dejeuner;seul;biscottes et panification sèche;pain;0.9592848879164324;86.99778787025706;92.77109206705057;5.773304196793504;0.07753480903731626;False;1.0;0
87;87;87;87;87;87;87;87;87;87;cluster_3;petit-dejeuner;seul;café;thé et infusions;0.10872978830684576;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
88;88;88;88;88;88;88;88;88;88;cluster_3;petit-dejeuner;seul;café;chicorée et poudre maltée;0.057321456297964875;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
89;89;89;89;89;89;89;89;89;89;cluster_3;petit-dejeuner;seul;café;cacao, poudres et boissons cacaotées;0.02194553465024467;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
90;90;90;90;90;90;90;90;90;90;cluster_3;petit-dejeuner;seul;thé et infusions;café;0.8912702116931541;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
91;91;91;91;91;91;91;91;91;91;cluster_3;petit-dejeuner;seul;thé et infusions;chicorée et poudre maltée;0.4207274408671106;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
92;92;92;92;92;92;92;92;92;92;cluster_3;petit-dejeuner;seul;thé et infusions;cacao, poudres et boissons cacaotées;0.3530475273649817;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
93;93;93;93;93;93;93;93;93;93;cluster_3;petit-dejeuner;seul;chicorée et poudre maltée;café;0.9426785437020352;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
94;94;94;94;94;94;94;94;94;94;cluster_3;petit-dejeuner;seul;chicorée et poudre maltée;thé et infusions;0.5792725591328893;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
95;95;95;95;95;95;95;95;95;95;cluster_3;petit-dejeuner;seul;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.31612698446855786;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
96;96;96;96;96;96;96;96;96;96;cluster_3;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;café;0.9780544653497554;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
97;97;97;97;97;97;97;97;97;97;cluster_3;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;thé et infusions;0.6469524726350182;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
