antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction
('autre', 'dejeuner');('poissons de mer',);0.029170077;0.048422643;0.002880801;0.09875877;2.03951628;0.001468309;1.055852001
('autre', 'diner');('poissons de mer',);0.013396512;0.048422643;0.001164914;0.086956522;1.795782213;0.00051622;1.042203772
('dejeuner', 'poissons de mer');('boeuf en pièces ou haché',);0.027438448;0.057065046;0.001149172;0.041881813;0.733931114;-0.000416604;0.984153068
('boeuf en pièces ou haché', 'dejeuner');('poissons de mer',);0.038725521;0.048422643;0.001149172;0.029674797;0.61282893;-0.00072602;0.980678801
('famille',);('légumes secs',);0.429632895;0.013034444;0.008516466;0.019822659;1.520790542;0.00291644;1.006925497
('cluster_1',);('légumes secs',);0.160805365;0.013034444;0.001952018;0.012139011;0.931302598;-0.00014399;0.999093564
('cluster_2',);('légumes secs',);0.131855677;0.013034444;0.002062213;0.015639924;1.199891916;0.000343547;1.002646877
('boeuf en pièces ou haché',);('légumes secs',);0.057065046;0.013034444;0.001369561;0.024;1.841275362;0.00062575;1.011235201
('cluster_3',);('légumes secs',);0.162426799;0.013034444;0.002156665;0.013277767;1.018667719;3.95E-05;1.000246598
('diner',);('légumes secs',);0.275832756;0.013034444;0.00461243;0.016721835;1.282895981;0.001017103;1.0037501
('cluster_6',);('légumes secs',);0.082331087;0.013034444;0.001101946;0.013384321;1.026842538;2.88E-05;1.000354624
('autre',);('légumes secs',);0.054026825;0.013034444;0.001180656;0.021853147;1.676569204;0.000476447;1.009015725
('cluster_5',);('légumes secs',);0.143127007;0.013034444;0.001999244;0.013968324;1.071647103;0.000133663;1.00094711
('cluster_7',);('légumes secs',);0.183615641;0.013034444;0.002046471;0.011145405;0.855073292;-0.000346857;0.99808967
('volailles et lapins',);('légumes secs',);0.060512562;0.013034444;0.001574208;0.026014568;1.995832642;0.000785461;1.013326816
('cluster_4',);('légumes secs',);0.105692337;0.013034444;0.001385303;0.013106941;1.005561959;7.66E-06;1.00007346
('cluster_1', 'famille');('légumes secs',);0.066226938;0.013034444;0.001322335;0.019966722;1.531843063;0.000459104;1.007073513
('cluster_1', 'dejeuner');('légumes secs',);0.043196272;0.013034444;0.001164914;0.02696793;2.068974381;0.000601875;1.014319658
('cluster_2', 'famille');('légumes secs',);0.058796675;0.013034444;0.001290851;0.021954485;1.684343816;0.000524469;1.009120272
('cluster_2', 'dejeuner');('légumes secs',);0.036175304;0.013034444;0.001227882;0.033942559;2.604066548;0.000756357;1.021642725
('cluster_3', 'famille');('légumes secs',);0.07387759;0.013034444;0.00151124;0.020455998;1.569380236;0.000548287;1.00757654
('cluster_3', 'dejeuner');('légumes secs',);0.043196272;0.013034444;0.001432529;0.033163265;2.544279306;0.00086949;1.020819256
('diner', 'famille');('légumes secs',);0.185016687;0.013034444;0.003431774;0.018548456;1.423033938;0.001020184;1.005618221
('dejeuner', 'porc');('légumes secs',);0.019126629;0.013034444;0.001101946;0.057613169;4.420071172;0.000852641;1.047304062
('cluster_5', 'dejeuner');('légumes secs',);0.038363453;0.013034444;0.001448272;0.037751334;2.896275019;0.000948225;1.025686593
('cluster_5', 'famille');('légumes secs',);0.062071028;0.013034444;0.001353819;0.021810804;1.673320665;0.000544758;1.008972048
('cluster_7', 'famille');('légumes secs',);0.07403501;0.013034444;0.001306593;0.01764831;1.353974901;0.000341588;1.004696756
('cluster_7', 'dejeuner');('légumes secs',);0.050232983;0.013034444;0.001259367;0.025070511;1.923404745;0.000604608;1.012345577
('dejeuner', 'volailles et lapins');('légumes secs',);0.038410679;0.013034444;0.001023235;0.026639344;2.043765344;0.000522573;1.013977245
('famille',);('agneau',);0.429632895;0.009319312;0.005934765;0.013813572;1.482252249;0.001930882;1.004557211
('cluster_2',);('agneau',);0.131855677;0.009319312;0.001401045;0.010625597;1.140169629;0.000172241;1.001320314
('agneau',);('légumes secs',);0.009319312;0.013034444;0.001621434;0.173986486;13.34820962;0.001499962;1.194854007
('cluster_4',);('agneau',);0.105692337;0.009319312;0.001275109;0.012064343;1.294552931;0.000290129;1.002778552
('cluster_2', 'dejeuner');('agneau',);0.036175304;0.009319312;0.001007493;0.027850305;2.988450592;0.000670364;1.019061871
('agneau', 'dejeuner');('légumes secs',);0.00658019;0.013034444;0.001322335;0.200956938;15.41737744;0.001236566;1.235184439
('agneau', 'famille');('légumes secs',);0.005934765;0.013034444;0.001149172;0.193633952;14.8555594;0.001071816;1.223967154
('cluster_1', 'dejeuner');('agneau',);0.043196272;0.009319312;0.001023235;0.023688047;2.541823438;0.000620676;1.01471736
('cluster_7', 'dejeuner');('agneau',);0.050232983;0.009319312;0.001038977;0.020683171;2.219388144;0.000570841;1.011603864
('cluster_5', 'famille');('agneau',);0.062071028;0.009319312;0.001023235;0.01648491;1.76889767;0.000444776;1.007285702
