cluster;tyrep;avecqui;aliment_1;aliment_2;score_substitution;score_sainlim_1;score_sainlim_2;score_sainlim;score_sainlim_nor
cluster_5;dejeuner;all;porc;veau;0.092173592;90.63694509;95.10780542;4.470860333;0.060043138
cluster_5;dejeuner;all;boeuf en pièces ou haché;volailles et lapins;0.26738898;95.10780542;97.01598859;1.908183164;0.02562668
cluster_5;dejeuner;all;boeuf en pièces ou haché;poissons de mer;0.259763288;95.10780542;97.35574391;2.247938492;0.030189554
cluster_5;dejeuner;all;boeuf en pièces ou haché;légumes secs;0.013767328;95.10780542;99.19941331;4.091607888;0.054949822
cluster_5;dejeuner;all;boeuf en pièces ou haché;veau;0.014300426;95.10780542;95.10780542;0;0
cluster_5;dejeuner;all;volailles et lapins;poissons de mer;0.495201564;97.01598859;97.35574391;0.339755327;0.004562875
cluster_5;dejeuner;all;volailles et lapins;légumes secs;0.03607387;97.01598859;99.19941331;2.183424724;0.029323142
cluster_5;dejeuner;all;poissons de mer;légumes secs;0.040527395;97.35574391;99.19941331;1.843669396;0.024760267
cluster_5;dejeuner;all;agneau;boeuf en pièces ou haché;0.994720598;92.34237363;95.10780542;2.765431788;0.03713943
cluster_5;dejeuner;all;agneau;volailles et lapins;0.985673352;92.34237363;97.01598859;4.673614952;0.062766109
cluster_5;dejeuner;all;agneau;poissons de mer;0.984242424;92.34237363;97.35574391;5.013370279;0.067328984
cluster_5;dejeuner;all;agneau;légumes secs;0.723991507;92.34237363;99.19941331;6.857039676;0.092089251
cluster_5;dejeuner;all;agneau;veau;0.729166667;92.34237363;95.10780542;2.765431788;0.03713943
cluster_5;dejeuner;all;veau;boeuf en pièces ou haché;0.985699574;95.10780542;95.10780542;0;0
cluster_5;dejeuner;all;veau;volailles et lapins;0.962626027;95.10780542;97.01598859;1.908183164;0.02562668
cluster_5;dejeuner;all;veau;poissons de mer;0.958051825;95.10780542;97.35574391;2.247938492;0.030189554
cluster_5;dejeuner;all;veau;légumes secs;0.48823369;95.10780542;99.19941331;4.091607888;0.054949822
cluster_6;dejeuner;all;porc;boeuf en pièces ou haché;0.900896395;90.63694509;95.10780542;4.470860333;0.060043138
cluster_6;dejeuner;all;porc;volailles et lapins;0.664256661;90.63694509;97.01598859;6.379043498;0.085669818
cluster_6;dejeuner;all;porc;poissons de mer;0.612283962;90.63694509;97.35574391;6.718798825;0.090232693
cluster_6;dejeuner;all;boeuf en pièces ou haché;volailles et lapins;0.169714938;95.10780542;97.01598859;1.908183164;0.02562668
cluster_6;dejeuner;all;boeuf en pièces ou haché;poissons de mer;0.150312174;95.10780542;97.35574391;2.247938492;0.030189554
cluster_6;dejeuner;all;volailles et lapins;poissons de mer;0.451729473;97.01598859;97.35574391;0.339755327;0.004562875
cluster_7;dejeuner;all;porc;boeuf en pièces ou haché;0.865241899;90.63694509;95.10780542;4.470860333;0.060043138
cluster_7;dejeuner;all;porc;volailles et lapins;0.843612002;90.63694509;97.01598859;6.379043498;0.085669818
cluster_7;dejeuner;all;porc;poissons de mer;0.343619183;90.63694509;97.35574391;6.718798825;0.090232693
cluster_7;dejeuner;all;porc;légumes secs;0.061514802;90.63694509;99.19941331;8.562468221;0.11499296
cluster_7;dejeuner;all;porc;agneau;0.053333333;90.63694509;92.34237363;1.705428546;0.022903709
cluster_7;dejeuner;all;boeuf en pièces ou haché;volailles et lapins;0.481939564;95.10780542;97.01598859;1.908183164;0.02562668
cluster_7;dejeuner;all;boeuf en pièces ou haché;poissons de mer;0.077400876;95.10780542;97.35574391;2.247938492;0.030189554
cluster_7;dejeuner;all;boeuf en pièces ou haché;légumes secs;0.008880995;95.10780542;99.19941331;4.091607888;0.054949822
cluster_7;dejeuner;all;volailles et lapins;poissons de mer;0.090169493;97.01598859;97.35574391;0.339755327;0.004562875
cluster_7;dejeuner;all;volailles et lapins;légumes secs;0.010754856;97.01598859;99.19941331;2.183424724;0.029323142
cluster_7;dejeuner;all;poissons de mer;légumes secs;0.105820106;97.35574391;99.19941331;1.843669396;0.024760267
cluster_7;dejeuner;all;agneau;boeuf en pièces ou haché;0.992486339;92.34237363;95.10780542;2.765431788;0.03713943
cluster_7;dejeuner;all;agneau;volailles et lapins;0.990878308;92.34237363;97.01598859;4.673614952;0.062766109
cluster_7;dejeuner;all;agneau;poissons de mer;0.907563025;92.34237363;97.35574391;5.013370279;0.067328984
cluster_7;dejeuner;all;agneau;légumes secs;0.547945205;92.34237363;99.19941331;6.857039676;0.092089251
cluster_1;diner;all;porc;boeuf en pièces ou haché;0.662187383;90.63694509;95.10780542;4.470860333;0.060043138
cluster_1;diner;all;porc;volailles et lapins;0.560102236;90.63694509;97.01598859;6.379043498;0.085669818
cluster_1;diner;all;porc;poissons de mer;0.896982029;90.63694509;97.35574391;6.718798825;0.090232693
cluster_1;diner;all;boeuf en pièces ou haché;volailles et lapins;0.393772922;95.10780542;97.01598859;1.908183164;0.02562668
cluster_1;diner;all;boeuf en pièces ou haché;poissons de mer;0.84124747;95.10780542;97.35574391;2.247938492;0.030189554
